1,Advance Together
2,Alliance
3,Alliance for Green Socialism
4,Animal Welfare Party
5,Aont̼
6,Ashfield Independents
7,Birkenhead Social Justice Party
8,Brexit Party
9,British National Party
10,Burnley and Padiham independent Party
11,Christian Party Proclaiming Christ's Lordship
12,Christian Peoples Alliance Party
13,Church of the Militant Elvis Party
14,Communist League Election Campaign
15,Communities United Party
16,Conservative
17,Cumbria First 
18,Democratic Unionist Party
19,English Democrats
20,Green
21,Gwlad Gwlad
22,Heavy Woollen District Independents
23,Independent
24,Independent Network
25,Justice and Anti-Corruption Party
26,Labour
27,Labour and Co-operative
28,Liberal
29,Liberal Democrat
30,Libertarian Party
31,Linconshire Independents 
32,Mebyon Kernow
33,Monster Raving Loony Party
34,Motherworld Party
35,Patria
36,People Before Profit Alliance
37,Plaid Cymru
38,Proud of Oldham & Saddleworth
39,Psychedelic Future Party
40,Rebooting Democracy
41,Renew
42,Scottish Family Party
43,Scottish National Party
44,Shropshire Prty
45,Sinn Fein
46,Social Democratic and Labour Party
47,Social Democratic Party
48,Socialist Equality Party
49,Socialist Labour Party
50,Space Navies Party
51,Speaker
52,The Best for Luton Party
53,The Citizens Movement Party UK
54,The Common People
55,The Constitution and Reform Party
56,The Cynon Valley Party
57,The Independent Group for Change
58,The North East Party
59,The Peace Party
60,The Socialist Party of Great Britain
61,The Yorkshire Party
62,Touch Love Worldwide (UK)
63,UK Independence Party
64,Ulster Unionist Party
65,Universal Good Party
66,Veterans and People's Party
67,Women's Equality Party
68,Workers Revolutionary Party
69,Wycombe Independents
70,Yeshua
71,Young People's Party
